t	ddtheta1	ddtheta2	ddpsi	ddy	ddz	
0	5.11973	2.77814	-9.0604	-5.77793	-3.1565	
0	5.11973	2.77814	-9.0604	-5.77793	-3.1565	
4.4358e-06	5.11972	2.77814	-9.0604	-5.77793	-3.1565	
6.65371e-06	5.11972	2.77814	-9.0604	-5.77793	-3.1565	
1.77432e-05	5.11972	2.77814	-9.06039	-5.77792	-3.15649	
1.97147e-05	5.11972	2.77814	-9.06039	-5.77792	-3.15649	
2.2179e-05	5.11972	2.77813	-9.06038	-5.77792	-3.15649	
2.2179e-05	5.11972	2.77813	-9.06038	-5.77792	-3.15649	
4.4358e-05	5.11971	2.77813	-9.06037	-5.77791	-3.15648	
5.54476e-05	5.1197	2.77813	-9.06036	-5.7779	-3.15648	
0.000110895	5.11967	2.77811	-9.06031	-5.77787	-3.15646	
0.000120752	5.11967	2.77811	-9.0603	-5.77786	-3.15646	
0.000133074	5.11966	2.7781	-9.06029	-5.77786	-3.15646	
0.000133074	5.11966	2.7781	-9.06029	-5.77786	-3.15646	
0.000243969	5.11961	2.77807	-9.06019	-5.7778	-3.15643	
0.000299417	5.11958	2.77806	-9.06015	-5.77777	-3.15641	
0.000576655	5.11944	2.77798	-9.05991	-5.77764	-3.15634	
0.000625941	5.11941	2.77797	-9.05987	-5.77762	-3.15633	
0.00068755	5.11938	2.77795	-9.05982	-5.77759	-3.15631	
0.00068755	5.11938	2.77795	-9.05982	-5.77759	-3.15631	
0.00124203	5.11909	2.77778	-9.05936	-5.77738	-3.1562	
0.00151926	5.11894	2.77768	-9.05914	-5.77731	-3.15616	
0.00290545	5.11816	2.77717	-9.05809	-5.77711	-3.15605	
0.00315189	5.11801	2.77706	-9.05792	-5.77712	-3.15605	
0.00345993	5.11782	2.77693	-9.0577	-5.77714	-3.15607	
0.00345993	5.11782	2.77693	-9.0577	-5.77714	-3.15607	
0.00623231	5.11604	2.77561	-9.05591	-5.77789	-3.15648	
0.00761849	5.11497	2.77471	-9.05522	-5.77915	-3.15716	
0.0145494	5.10888	2.76915	-9.05294	-5.78966	-3.16291	
0.0157816	5.10763	2.76792	-9.05278	-5.79248	-3.16444	
0.0173218	5.10599	2.76627	-9.05267	-5.79638	-3.16658	
0.0173218	5.10599	2.76626	-9.05267	-5.79637	-3.16657	
0.0218575	5.10086	2.76091	-9.0529	-5.80982	-3.17392	
0.0241253	5.09786	2.75757	-9.05354	-5.8189	-3.17888	
0.0354644	5.08135	2.73788	-9.05963	-5.87561	-3.20986	
0.0374802	5.07811	2.73368	-9.06127	-5.88831	-3.2168	
0.04	5.07389	2.72811	-9.06359	-5.90506	-3.22595	
0.04	5.07384	2.7281	-9.06363	-5.90488	-3.22585	
0.048	5.05998	2.70874	-9.07244	-5.96382	-3.25805	
0.052	5.05227	2.69677	-9.0781	-6.00073	-3.27821	
0.072	5.0148	2.62522	-9.11242	-6.21967	-3.39782	
0.0755556	5.00885	2.60976	-9.11919	-6.26751	-3.42396	
0.08	5.00131	2.58906	-9.1285	-6.32836	-3.4572	
0.08	5.00081	2.58898	-9.12901	-6.32623	-3.45604	
0.088	4.98873	2.54869	-9.14639	-6.44221	-3.51939	
0.092	4.98389	2.52541	-9.15494	-6.50776	-3.5552	
0.112	4.97451	2.39104	-9.19577	-6.86318	-3.74937	
0.115556	4.97704	2.36293	-9.20118	-6.9349	-3.78855	
0.12	4.98105	2.32576	-9.20857	-7.02325	-3.83682	
0.12	4.98	2.32572	-9.20987	-7.01961	-3.83483	
0.128	4.99245	2.25397	-9.22147	-7.18236	-3.92374	
0.132	5.00336	2.21336	-9.22419	-7.27013	-3.97169	
0.152	5.09471	1.98129	-9.22017	-7.71436	-4.21437	
0.155556	5.12056	1.93333	-9.21283	-7.79771	-4.25991	
0.16	5.15505	1.87023	-9.20364	-7.89704	-4.31417	
0.16	5.15316	1.87025	-9.20618	-7.89242	-4.31165	
0.168	5.22577	1.74904	-9.18357	-8.06729	-4.40718	
0.172	5.27179	1.68122	-9.16365	-8.15592	-4.4556	
0.192	5.56556	1.29783	-9.01913	-8.54932	-4.67052	
0.195556	5.6338	1.21982	-8.97889	-8.61146	-4.70446	
0.2	5.72257	1.1176	-8.92711	-8.67852	-4.7411	
0.2	5.71965	1.11751	-8.93132	-8.67415	-4.73871	
0.208	5.89502	0.922702	-8.82512	-8.77469	-4.79363	
0.212	5.99759	0.815355	-8.75466	-8.81312	-4.81463	
0.232	6.59071	0.221799	-8.32089	-8.85508	-4.83755	
0.235556	6.71564	0.104672	-8.21976	-8.83283	-4.8254	
0.24	6.87549	-0.0480225	-8.08908	-8.78569	-4.79964	
0.24	6.87199	-0.0488977	-8.09429	-8.78222	-4.79775	
0.248	7.17527	-0.335326	-7.83912	-8.65345	-4.7274	
0.252	7.34311	-0.489155	-7.68502	-8.55752	-4.67499	
0.272	8.24233	-1.30682	-6.8145	-7.82302	-4.27373	
0.275556	8.41661	-1.45991	-6.63389	-7.64653	-4.17732	
0.28	8.63596	-1.65797	-6.39972	-7.39457	-4.03967	
0.28	8.63304	-1.66086	-6.4016	-7.38563	-4.03479	
0.288	9.03452	-2.02309	-5.96263	-6.87589	-3.75632	
0.292	9.2458	-2.21048	-5.71638	-6.58103	-3.59523	
0.312	10.3102	-3.15502	-4.43793	-4.87783	-2.66477	
0.315556	10.5047	-3.3211	-4.20337	-4.55457	-2.48817	
0.32	10.7451	-3.53301	-3.8979	-4.10528	-2.24272	
0.32	10.7417	-3.53745	-3.88924	-4.07332	-2.22526	
0.328	11.1733	-3.91442	-3.34171	-3.2361	-1.76789	
0.332	11.3955	-4.1031	-3.05638	-2.80362	-1.53162	
0.352	12.5152	-5.01891	-1.696	-0.623754	-0.340758	
0.355556	12.7282	-5.17775	-1.47414	-0.275382	-0.150442	
0.36	12.988	-5.37509	-1.18647	0.206197	0.112646	
0.36	12.9776	-5.37538	-1.16999	0.259583	0.141811	
0.368	13.4578	-5.72512	-0.675348	1.1037	0.602953	
0.372	13.7192	-5.90385	-0.432136	1.49916	0.818997	
0.392	15.1629	-6.80356	0.66326	3.31053	1.80855	
0.395556	15.4742	-6.97742	0.835332	3.57169	1.95122	
0.4	15.8571	-7.18851	1.05131	3.91683	2.13977	
0.4	15.8323	-7.17825	1.06021	3.95131	2.15861	
0.408	16.575	-7.56949	1.42881	4.52901	2.47421	
0.412	17.0107	-7.78973	1.61362	4.78022	2.61145	
0.432	19.595	-9.01805	2.49462	5.88301	3.2139	
0.435556	20.1932	-9.29185	2.65945	6.04868	3.30441	
0.44	20.9341	-9.62459	2.86092	6.24915	3.41392	
0.44	20.8791	-9.59764	2.854	6.24846	3.41355	
0.448	22.3415	-10.2435	3.2297	6.58799	3.59904	
0.452	23.23	-10.6374	3.45265	6.74309	3.68377	
0.472	28.634	-12.9877	4.78844	7.55735	4.1286	
0.475556	29.937	-13.5555	5.12125	7.73694	4.22671	
0.48	31.5245	-14.2387	5.53723	7.95349	4.34501	
0.48	31.373	-14.1676	5.50026	7.92246	4.32806	
0.488	34.5235	-15.5189	6.36263	8.35587	4.56483	
0.492	36.4909	-16.377	6.94193	8.61954	4.70888	
0.512	48.5203	-21.6014	11.0411	10.5749	5.77707	
0.515556	51.5223	-22.9206	12.2375	11.1923	6.11438	
0.52	54.9581	-24.4182	13.7217	11.9268	6.51563	
0.52	54.4569	-24.1872	13.5115	11.7544	6.42148	
0.528	61.0738	-27.0813	16.721	13.3436	7.28963	
0.532	65.1204	-28.8854	18.9476	14.4291	7.88264	
0.552	83.4676	-37.3454	35.5566	22.9914	12.5603	
0.555556	86.2945	-38.8631	41.0749	26.1592	14.2909	
0.56	86.6382	-39.2894	46.6628	29.1249	15.911	
0.56	85.231	-38.4775	44.3501	27.4737	15.009	
0.568	80.4738	-37.0406	54.9014	33.0222	18.0401	
0.572	73.0336	-34.1541	59.8981	35.7689	19.5406	
0.592	1.51274	-4.09057	68.6154	42.0513	22.9727	
0.595556	-11.3022	1.91567	63.5984	41.1554	22.4833	
0.6	-25.3798	8.46414	59.0502	39.0607	21.3389	
0.6	-28.1645	9.21489	63.8185	39.5327	21.5968	
0.608	-48.8182	19.1777	55.5688	35.9489	19.639	
0.612	-53.2222	21.7005	50.4233	33.6198	18.3666	
0.632	-60.8291	27.3517	34.2362	26.3218	14.3797	
0.635556	-69.2101	31.0108	36.7024	26.4725	14.462	
0.64	-67.9254	30.9237	33.6806	25.2437	13.7907	
0.64	-53.2223	24.7557	27.4545	24.2306	13.2372	
0.648	-48.3367	22.9698	23.6435	23.0619	12.5988	
0.652	-46.4155	22.2004	22.2913	22.6063	12.3499	
0.672	-35.8565	17.3568	16.8101	21.2599	11.6144	
0.675556	-33.1848	16.0446	15.8024	21.4014	11.6916	
0.68	-31.5246	15.1038	15.0331	21.1504	11.5545	
0.68	-33.1536	15.8433	15.4239	20.5791	11.2424	
0.688	-30.2175	14.1186	14.0353	19.9385	10.8924	
0.692	-29.0448	13.3794	13.3589	19.4354	10.6176	
0.712	-23.7445	9.66617	9.91301	16.021	8.75229	
0.715556	-22.7168	8.91724	9.24145	15.2743	8.34437	
0.72	-21.907	8.24343	8.39251	14.06	7.68101	
0.72	-22.3278	8.49764	8.39908	13.8603	7.5719	
0.728	-20.9784	7.34928	6.7879	11.3855	6.21993	
0.732	-20.4158	6.88616	5.87805	9.87739	5.39604	
0.752	-18.0514	4.98685	1.17379	1.68974	0.92311	
0.755556	-17.667	4.73627	0.37444	0.340655	0.1861	
0.76	-17.2759	4.50149	-0.736286	-1.65758	-0.905542	
0.76	-17.3386	4.53978	-0.851659	-1.98366	-1.08368	
0.768	-16.6648	4.21279	-2.80492	-5.47781	-2.99254	
0.772	-16.3675	4.15608	-3.75684	-7.11832	-3.88876	
0.792	-14.9752	4.1482	-7.85496	-13.8295	-7.5551	
0.795556	-14.7858	4.18219	-8.30904	-14.4918	-7.91691	
0.8	-14.5118	4.28181	-9.03474	-15.5255	-8.4816	
0.8	-14.447	4.31655	-9.26257	-15.8515	-8.65971	
0.808	-13.9464	4.50108	-10.4025	-17.2994	-9.45068	
0.812	-13.7321	4.62721	-10.8519	-17.7533	-9.69865	
0.832	-12.7088	5.14701	-12.4633	-18.7883	-10.2641	
0.835556	-12.5617	5.19146	-12.5905	-18.8546	-10.3003	
0.84	-12.3785	5.29473	-12.7744	-18.7339	-10.2344	
0.84	-12.36	5.34763	-12.8446	-18.5611	-10.14	
0.848	-12.045	5.49189	-13.0844	-18.1582	-9.91985	
0.852	-11.9138	5.55396	-13.1419	-17.8773	-9.76643	
0.872	-11.3422	5.69426	-13.1906	-16.1364	-8.81534	
0.875556	-11.2514	5.68073	-13.1675	-15.845	-8.65614	
0.88	-11.162	5.67345	-13.1131	-15.3961	-8.41092	
0.88	-11.1774	5.69305	-13.0998	-15.3047	-8.36102	
0.888	-11.0351	5.65065	-12.9761	-14.4754	-7.90796	
0.892	-10.9731	5.6161	-12.9044	-14.0833	-7.69372	
0.912	-10.7465	5.34221	-12.486	-12.1341	-6.62888	
0.915556	-10.7164	5.27693	-12.4113	-11.7942	-6.4432	
0.92	-10.6875	5.19072	-12.3097	-11.4047	-6.23041	
0.92	-10.6919	5.19213	-12.3014	-11.428	-6.24315	
0.928	-10.6559	5.02376	-12.1132	-10.743	-5.86893	
0.932	-10.6391	4.9325	-12.0278	-10.4361	-5.70128	
0.952	-10.6255	4.43363	-11.5897	-8.98667	-4.90944	
0.955556	-10.6345	4.33998	-11.514	-8.73358	-4.77118	
0.96	-10.6444	4.21852	-11.4246	-8.46242	-4.62304	
0.96	-10.6402	4.21645	-11.4274	-8.49742	-4.64216	
0.968	-10.6713	3.99386	-11.2658	-8.02749	-4.38544	
0.972	-10.6861	3.88064	-11.1964	-7.81916	-4.27163	
0.992	-10.8174	3.30569	-10.8474	-6.85582	-3.74535	
0.995556	-10.851	3.20395	-10.7854	-6.69081	-3.6552	
1	-10.889	3.07497	-10.7177	-6.51374	-3.55847	
1	-10.8831	3.07323	-10.7251	-6.5356	-3.57041	
1.008	-10.9619	2.84193	-10.6033	-6.23078	-3.40389	
1.012	-11.0003	2.72762	-10.5513	-6.09569	-3.33009	
1.032	-11.2325	2.16612	-10.2909	-5.47761	-2.99243	
1.03556	-11.2808	2.06987	-10.2429	-5.37415	-2.93591	
1.04	-11.3374	1.94956	-10.193	-5.26096	-2.87408	
1.04	-11.3327	1.94828	-10.2014	-5.27212	-2.88017	
1.048	-11.441	1.73546	-10.1116	-5.07812	-2.77419	
1.052	-11.4929	1.63272	-10.0725	-4.99209	-2.72719	
1.072	-11.7721	1.14144	-9.87793	-4.60167	-2.5139	
1.07556	-11.8239	1.06008	-9.84099	-4.53784	-2.47903	
1.08	-11.8854	0.959429	-9.80358	-4.4667	-2.44017	
1.08	-11.8827	0.958166	-9.8112	-4.47198	-2.44305	
1.088	-11.9951	0.782829	-9.74439	-4.35073	-2.37682	
1.092	-12.0466	0.700878	-9.7142	-4.29717	-2.34755	
1.112	-12.2999	0.322872	-9.56721	-4.05758	-2.21666	
1.11556	-12.3416	0.263704	-9.53914	-4.01959	-2.19591	
1.12	-12.3907	0.191533	-9.51099	-3.97693	-2.17261	
1.12	-12.3899	0.190187	-9.51707	-3.97933	-2.17392	
1.128	-12.4751	0.0677753	-9.46761	-3.90759	-2.13473	
1.132	-12.5098	0.0140726	-9.44452	-3.87651	-2.11775	
1.152	-12.6591	-0.216153	-9.33701	-3.74306	-2.04484	
1.15556	-12.6782	-0.247779	-9.31715	-3.72331	-2.03405	
1.16	-12.6984	-0.284697	-9.29715	-3.70156	-2.02217	
1.16	-12.6983	-0.285772	-9.30122	-3.70259	-2.02273	
1.168	-12.728	-0.343736	-9.26719	-3.66761	-2.00363	
1.172	-12.7328	-0.364112	-9.25108	-3.65377	-1.99607	
1.192	-12.7219	-0.425381	-9.18188	-3.60396	-1.96885	
1.19556	-12.711	-0.427015	-9.17041	-3.59894	-1.96611	
1.2	-12.6932	-0.425499	-9.15858	-3.59465	-1.96377	
1.2	-12.6927	-0.425732	-9.16034	-3.59494	-1.96392	
1.208	-12.6531	-0.414515	-9.14149	-3.59115	-1.96185	
1.212	-12.6232	-0.400326	-9.13283	-3.5926	-1.96264	
