t	theta1	theta2	psi	y	z	dtheta1	dtheta2	dpsi	ddtheta1	ddtheta2	ddpsi	Fsb12	Fsb13	Fb1b22	Fb1b23	Fb2d2	Fb2d3	Fsd3	
0	1.05	0.116159	-1.77797e-32	2.16393	-0.137291	0	0	0	1.34723	2.47861	-13.4576	0	0	0	0	0	0	0	
0	1.05	0.116159	-1.77797e-32	2.16393	-0.137291	0	0	0	1.34723	2.47861	-13.4576	0	0	0	0	0	0	0	
2.98642e-06	1.05	0.116159	-1.77797e-32	2.16393	-0.137291	4.02339e-06	7.40216e-06	-4.01902e-05	1.34723	2.4786	-13.4576	0	0	0	0	0	0	0	
4.47964e-06	1.05	0.116159	-1.35028e-10	2.16393	-0.137291	6.03508e-06	1.11032e-05	-6.02853e-05	1.34723	2.4786	-13.4576	0	0	0	0	0	0	0	
1.19457e-05	1.05	0.116159	-9.60199e-10	2.16393	-0.137291	1.60935e-05	2.96087e-05	-0.000160761	1.34722	2.4786	-13.4576	0	0	0	0	0	0	0	
1.3273e-05	1.05	0.116159	-1.18543e-09	2.16393	-0.137291	1.78817e-05	3.28985e-05	-0.000178623	1.34722	2.4786	-13.4576	0	0	0	0	0	0	0	
1.49321e-05	1.05	0.116159	-1.50031e-09	2.16393	-0.137291	2.01169e-05	3.70108e-05	-0.000200951	1.34722	2.4786	-13.4576	0	0	0	0	0	0	0	
1.49321e-05	1.05	0.116159	-1.50031e-09	2.16393	-0.137291	2.01169e-05	3.70108e-05	-0.000200951	1.34722	2.4786	-13.4576	0	0	0	0	0	0	0	
2.98642e-05	1.05	0.116159	-4.50093e-09	2.16393	-0.137291	4.02338e-05	7.40216e-05	-0.000401902	1.34722	2.4786	-13.4576	0	0	0	0	0	0	0	
3.73303e-05	1.05	0.116159	-9.37695e-09	2.16393	-0.137291	5.02922e-05	9.2527e-05	-0.000502377	1.34722	2.4786	-13.4576	0	0	0	0	0	0	0	
7.46606e-05	1.05	0.116159	-3.75078e-08	2.16393	-0.137291	0.000100584	0.000185054	-0.00100475	1.34721	2.4786	-13.4576	0	0	0	0	0	0	0	
8.12971e-05	1.05	0.116159	-4.44722e-08	2.16393	-0.137291	0.000109525	0.000201503	-0.00109407	1.34721	2.4786	-13.4576	0	0	0	0	0	0	0	
8.95927e-05	1.05	0.116159	-5.40112e-08	2.16393	-0.137291	0.000120701	0.000222065	-0.00120571	1.34721	2.4786	-13.4576	0	0	0	0	0	0	0	
8.95927e-05	1.05	0.116159	-5.40112e-08	2.16393	-0.137291	0.000120701	0.000222065	-0.00120571	1.34721	2.4786	-13.4576	0	0	0	0	0	0	0	
0.000164253	1.05	0.116159	-1.4403e-07	2.16393	-0.137291	0.000221284	0.000407118	-0.00221046	1.34719	2.47859	-13.4576	0	0	0	0	0	0	0	
0.000201584	1.05	0.116159	-2.73432e-07	2.16393	-0.137291	0.000271574	0.000499645	-0.00271284	1.34718	2.47859	-13.4576	0	0	0	0	0	0	0	
0.000388235	1.05	0.116159	-1.01421e-06	2.16393	-0.137292	0.000523023	0.000962275	-0.00522473	1.34714	2.47857	-13.4576	0	0	0	0	0	0	0	
0.000421418	1.05	0.116159	-1.19499e-06	2.16393	-0.137292	0.000567724	0.00104452	-0.00567128	1.34713	2.47857	-13.4577	0	0	0	0	0	0	0	
0.000462896	1.05	0.116159	-1.4418e-06	2.16393	-0.137292	0.0006236	0.00114733	-0.00622948	1.34712	2.47856	-13.4577	0	0	0	0	0	0	0	
0.000462896	1.05	0.116159	-1.4418e-06	2.16393	-0.137292	0.0006236	0.00114733	-0.00622948	1.34712	2.47856	-13.4577	0	0	0	0	0	0	0	
0.000836199	1.05	0.11616	-3.76728e-06	2.16393	-0.137292	0.00112648	0.00207258	-0.0112533	1.34704	2.47852	-13.4577	0	0	0	0	0	0	0	
0.00102285	1.05	0.11616	-7.03984e-06	2.16393	-0.137293	0.00137789	0.00253519	-0.0137652	1.347	2.4785	-13.4577	0	0	0	0	0	0	0	
0.00195611	1.05	0.116164	-2.57469e-05	2.16393	-0.137296	0.00263492	0.00484819	-0.0263246	1.34682	2.47834	-13.4577	0	0	0	0	0	0	0	
0.00212202	1.05	0.116164	-3.02998e-05	2.16392	-0.137297	0.0028584	0.00525935	-0.0285573	1.34679	2.47831	-13.4577	0	0	0	0	0	0	0	
0.00232941	1.05	0.116166	-3.65118e-05	2.16392	-0.137298	0.00313771	0.00577332	-0.0313483	1.34676	2.47827	-13.4577	0	0	0	0	0	0	0	
0.00232941	1.05	0.116166	-3.65116e-05	2.16392	-0.137298	0.00313766	0.00577336	-0.0313484	1.34676	2.47827	-13.4577	0	0	0	0	0	0	0	
0.00386353	1.05001	0.116174	-8.46038e-05	2.16391	-0.137306	0.00520374	0.00957532	-0.0519941	1.3465	2.4779	-13.4577	0	0	0	0	0	0	0	
0.00463059	1.05001	0.116185	-0.000144282	2.16389	-0.137316	0.00623635	0.0114757	-0.0623169	1.34646	2.47762	-13.4575	0	0	0	0	0	0	0	
0.00846588	1.05005	0.116248	-0.000482265	2.16378	-0.137375	0.0114013	0.020974	-0.113926	1.34635	2.47583	-13.4568	0	0	0	0	0	0	0	
