t	dx	dy	dz	da	db	dc	
0	1	0	0	0	2	-1.03897e-06	
5e-05	1	-5.11956e-10	-5.34833e-16	2.65308e-11	2	-1.03897e-06	
0.0001	1.00005	-4.20138e-10	-4.39893e-16	2.17726e-11	1.99963	2.28172e-07	
0.00015	1.00011	5.58557e-11	5.8559e-17	-2.89458e-12	1.99916	2.76144e-06	
0.0002	1.00009	-2.2706e-10	-2.20184e-16	1.17668e-11	1.99927	5.29365e-06	
0.00025	1.00005	-1.49096e-09	-1.49299e-15	7.72653e-11	1.99964	7.82586e-06	
0.0003	1.00004	-3.49201e-09	-3.48918e-15	1.80965e-10	1.99967	1.03581e-05	
0.00035	1.00008	-5.97144e-09	-5.92249e-15	3.09455e-10	1.99942	1.28901e-05	
0.0004	1.00009	-8.74295e-09	-8.58243e-15	4.53081e-10	1.99932	1.54223e-05	
0.00045	1.00007	-1.16875e-08	-1.13289e-14	6.05674e-10	1.99947	1.79546e-05	
0.0005	1.00005	-1.47328e-08	-1.40708e-14	7.6349e-10	1.99959	2.04869e-05	
0.00055	1.00006	-1.78363e-08	-1.6748e-14	9.24321e-10	1.99951	2.3019e-05	
0.0006	1.00008	-2.09733e-08	-1.93192e-14	1.08689e-09	1.99941	2.55511e-05	
0.00065	1.00007	-2.41295e-08	-2.17539e-14	1.25045e-09	1.99943	2.80833e-05	
0.0007	1.00006	-2.72968e-08	-2.4028e-14	1.41459e-09	1.99951	3.06155e-05	
0.00075	1.00006	-3.04704e-08	-2.61209e-14	1.57905e-09	1.99952	3.31477e-05	
0.0008	1.00007	-3.36475e-08	-2.80145e-14	1.74369e-09	1.99947	3.56798e-05	
0.00085	1.00007	-3.68267e-08	-2.96915e-14	1.90845e-09	1.99945	3.8212e-05	
0.0009	1.00007	-4.00071e-08	-3.11355e-14	2.07326e-09	1.99948	4.07442e-05	
0.00095	1.00007	-4.31882e-08	-3.23304e-14	2.23811e-09	1.9995	4.32763e-05	
0.001	1.00007	-4.63696e-08	-3.32605e-14	2.40298e-09	1.99949	4.58085e-05	
0.00105	1.00007	-4.95512e-08	-3.39099e-14	2.56786e-09	1.99946	4.83406e-05	
0.0011	1.00007	-5.2733e-08	-3.42632e-14	2.73275e-09	1.99947	5.08727e-05	
0.00115	1.00007	-5.59148e-08	-3.43046e-14	2.89764e-09	1.99948	5.34049e-05	
0.0012	1.00007	-5.90967e-08	-3.40187e-14	3.06253e-09	1.99949	5.5937e-05	
0.00125	1.00007	-6.22786e-08	-3.33899e-14	3.22743e-09	1.99948	5.84691e-05	
0.0013	1.00007	-6.54605e-08	-3.24027e-14	3.39232e-09	1.99947	6.10012e-05	
0.00135	1.00007	-6.86424e-08	-3.10415e-14	3.55721e-09	1.99948	6.35333e-05	
0.0014	1.00007	-7.18243e-08	-2.92909e-14	3.72211e-09	1.99948	6.60654e-05	
0.00145	1.00007	-7.50062e-08	-2.71352e-14	3.887e-09	1.99948	6.85975e-05	
0.0015	1.00007	-7.81881e-08	-2.45591e-14	4.0519e-09	1.99948	7.11296e-05	
0.00155	1.00007	-8.137e-08	-2.15468e-14	4.21679e-09	1.99948	7.36617e-05	
0.0016	1.00007	-8.45518e-08	-1.8083e-14	4.38168e-09	1.99948	7.61938e-05	
0.00165	1.00007	-8.77337e-08	-1.41521e-14	4.54657e-09	1.99948	7.87259e-05	
0.0017	1.00007	-9.09156e-08	-9.73853e-15	4.71147e-09	1.99948	8.12579e-05	
0.00175	1.00007	-9.40974e-08	-4.82683e-15	4.87636e-09	1.99948	8.379e-05	
0.0018	1.00007	-9.72793e-08	5.98529e-16	5.04125e-09	1.99948	8.63221e-05	
0.00185	1.00007	-1.00461e-07	6.55309e-15	5.20614e-09	1.99948	8.88541e-05	
0.0019	1.00007	-1.03643e-07	1.30524e-14	5.37103e-09	1.99948	9.13862e-05	
0.00195	1.00007	-1.06825e-07	2.01119e-14	5.53592e-09	1.99948	9.39182e-05	
0.002	1.00007	-1.10007e-07	2.77471e-14	5.70081e-09	1.99948	9.64502e-05	
0.00205	1.00007	-1.13189e-07	3.59737e-14	5.8657e-09	1.99948	9.89823e-05	
0.0021	1.00007	-1.1637e-07	4.4807e-14	6.03059e-09	1.99948	0.000101514	
0.00215	1.00007	-1.19552e-07	5.42627e-14	6.19548e-09	1.99948	0.000104046	
0.0022	1.00007	-1.22734e-07	6.43562e-14	6.36037e-09	1.99948	0.000106578	
0.00225	1.00007	-1.25916e-07	7.51031e-14	6.52526e-09	1.99948	0.00010911	
0.0023	1.00007	-1.29098e-07	8.65189e-14	6.69015e-09	1.99948	0.000111642	
