t	dx	dy	dz	da	db	dc	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
4.10788e-05	4.01902e-05	-4.18796e-10	-4.38223e-16	2.1703e-11	-5.43674e-28	9.12133e-21	
6.16182e-05	6.02853e-05	-6.28194e-10	-6.57334e-16	3.25545e-11	-8.15511e-28	1.3682e-20	
0.000164315	0.000160761	-1.67518e-09	-1.75289e-15	8.6812e-11	7.49061e-27	-4.45932e-20	
0.000182573	0.000178623	-1.86131e-09	-1.94765e-15	9.64577e-11	2.27049e-26	-1.5693e-19	
0.000205394	0.000200951	-2.09398e-09	-2.19111e-15	1.08515e-10	2.18909e-26	-1.57934e-19	
0.000205394	0.000200951	-2.09398e-09	-2.19111e-15	1.08515e-10	1.26182e-27	-3.57454e-21	
0.000410788	0.000401902	-4.18795e-09	-4.38221e-15	2.1703e-10	1.26182e-27	-2.28033e-20	
0.000513485	-0.00217869	2.26245e-08	2.36739e-14	-1.17246e-09	0.0205863	2.49814e-09	
0.00102697	0.00312313	-3.24821e-08	-3.39761e-14	1.6833e-09	-0.0162657	-1.97359e-09	
0.00111826	0.0256849	-2.66926e-07	-2.79301e-13	1.38327e-08	-0.188818	-2.29098e-08	
0.00123236	0.0232056	-2.41165e-07	-2.52529e-13	1.24977e-08	-0.168924	-2.04938e-08	
0.00123236	-0.00962406	9.99692e-08	1.04495e-13	-5.18065e-09	0.0831553	1.00896e-08	
0.000356387	0.000348678	-3.63334e-09	-3.80187e-15	1.88289e-10	1.26182e-27	-1.67636e-20	
0.000431884	-0.00154841	1.60775e-08	1.68233e-14	-8.33177e-10	0.0151338	1.83648e-09	
0.000809367	0.00234916	-2.44335e-08	-2.55624e-14	1.2662e-09	-0.0119576	-1.45094e-09	
0.000876475	0.0189352	-1.96783e-07	-2.0591e-13	1.01978e-08	-0.138808	-1.68429e-08	
0.00096036	0.0171126	-1.77846e-07	-1.86168e-13	9.21639e-09	-0.124183	-1.50675e-08	
0.00096036	-0.0070218	7.2937e-08	7.62758e-14	-3.77977e-09	0.0611307	7.41767e-09	
0.000280891	0.000274814	-2.86366e-09	-2.99649e-15	1.48402e-10	1.26182e-27	-8.38181e-21	
0.000318639	-0.000673731	6.99178e-09	7.3161e-15	-3.62331e-10	0.0075669	9.18239e-10	
0.000507381	0.00127505	-1.32638e-08	-1.38787e-14	6.87361e-10	-0.00597878	-7.25504e-10	
0.000540935	0.00956808	-9.94389e-08	-1.04052e-13	5.15317e-09	-0.0694039	-8.42195e-09	
0.000582877	0.00865677	-8.99705e-08	-9.41537e-14	4.66249e-09	-0.0620914	-7.53449e-09	
0.000582877	-0.00341042	3.54217e-08	3.7059e-14	-1.83564e-09	0.0305654	3.70903e-09	
0.000243142	0.000237883	-2.47882e-09	-2.5938e-15	1.28458e-10	1.26182e-27	-4.1909e-21	
0.000262017	-0.00023639	2.4489e-09	2.5625e-15	-1.26908e-10	0.00378345	4.59119e-10	
0.000356387	0.000738002	-7.67888e-09	-8.0351e-15	3.97938e-10	-0.00298939	-3.62757e-10	
0.000373164	0.00488451	-5.07665e-08	-5.31216e-14	2.63084e-09	-0.0347019	-4.21104e-09	
0.000394136	0.00442886	-4.60323e-08	-4.8169e-14	2.38551e-09	-0.0310457	-3.76734e-09	
0.000394136	-0.00160474	1.66639e-08	1.74361e-14	-8.63562e-10	0.0152827	1.85454e-09	
0.000224268	0.000219417	-2.2864e-09	-2.39245e-15	1.18487e-10	1.26182e-27	-2.09545e-21	
0.000233705	-1.77197e-05	1.77462e-10	1.85694e-16	-9.19652e-12	0.00189172	2.29559e-10	
0.000280891	0.000469477	-4.88643e-09	-5.11311e-15	2.53227e-10	-0.0014947	-1.8138e-10	
0.000289279	0.00254273	-2.64303e-08	-2.76563e-14	1.36968e-09	-0.017351	-2.10553e-09	
0.000299765	0.00231491	-2.40632e-08	-2.51796e-14	1.24701e-09	-0.0155229	-1.88368e-09	
0.000299765	-0.000701892	7.28494e-09	7.62276e-15	-3.77524e-10	0.00764134	9.27271e-10	
0.000214831	0.000210184	-2.19019e-09	-2.29178e-15	1.13501e-10	1.26182e-27	-1.04773e-21	
0.00021955	9.16156e-05	-9.58258e-10	-1.00271e-15	4.96592e-11	0.000945862	1.1478e-10	
0.000243142	0.000335214	-3.4902e-09	-3.65211e-15	1.80871e-10	-0.000747348	-9.069e-11	
0.000247337	0.00137184	-1.42621e-08	-1.49237e-14	7.39098e-10	-0.00867549	-1.05276e-09	
0.000252579	0.00125793	-1.30786e-08	-1.36853e-14	6.77763e-10	-0.00776143	-9.41843e-10	
0.000252579	-0.000250471	2.59548e-09	2.71586e-15	-1.34504e-10	0.00382067	4.63636e-10	
0.000210113	0.000205567	-2.14208e-09	-2.24144e-15	1.11008e-10	1.26182e-27	-5.23863e-22	
0.000212472	0.000146283	-1.52612e-09	-1.59691e-15	7.90871e-11	0.000472931	5.73898e-11	
0.000224268	0.000268082	-2.79209e-09	-2.92161e-15	1.44693e-10	-0.000373674	-4.5345e-11	
0.000226365	0.000786396	-8.17805e-09	-8.5574e-15	4.23806e-10	-0.00433774	-5.26382e-10	
0.000228987	0.00072944	-7.58627e-09	-7.93818e-15	3.93139e-10	-0.00388071	-4.70922e-10	
0.000228987	-2.47599e-05	2.50753e-10	2.62383e-16	-1.29946e-11	0.00191033	2.31818e-10	
0.000207753	0.000203259	-2.11803e-09	-2.21628e-15	1.09761e-10	1.26182e-27	-2.61932e-22	
0.000208933	0.000173617	-1.81005e-09	-1.89401e-15	9.38011e-11	0.000236465	2.86949e-11	
0.000214831	0.000234517	-2.44303e-09	-2.55636e-15	1.26604e-10	-0.000186837	-2.26725e-11	
0.00021588	0.000493674	-5.13601e-09	-5.37425e-15	2.66161e-10	-0.00216887	-2.63191e-10	
0.00021719	0.000465195	-4.84013e-09	-5.06464e-15	2.50827e-10	-0.00194036	-2.35461e-10	
0.00021719	8.80955e-05	-9.21612e-10	-9.64362e-16	4.77602e-11	0.000955167	1.15909e-10	
0.000206574	0.000202105	-2.106e-09	-2.20369e-15	1.09138e-10	1.26182e-27	-1.30966e-22	
0.000207164	0.000187284	-1.95201e-09	-2.04256e-15	1.01158e-10	0.000118233	1.43475e-11	
0.000210113	0.000217734	-2.26851e-09	-2.37373e-15	1.17559e-10	-9.34185e-05	-1.13363e-11	
0.000210637	0.000347312	-3.61499e-09	-3.78268e-15	1.87338e-10	-0.00108444	-1.31596e-10	
0.000211292	0.000333073	-3.46705e-09	-3.62787e-15	1.79671e-10	-0.000970179	-1.1773e-10	
0.000211292	0.000144523	-1.50779e-09	-1.57774e-15	7.81376e-11	0.000477584	5.79544e-11	
0.000212472	0.00013199	-1.3776e-09	-1.4415e-15	7.13903e-11	0.000582679	7.07077e-11	
0.000213062	0.000144911	-1.41209e-09	-1.47759e-15	7.31777e-11	0.000487899	1.72437e-10	
0.000216011	7.92306e-05	-9.08307e-10	-9.5044e-16	4.70707e-11	0.00101437	3.36271e-11	
0.000216535	-8.71662e-05	-1.56858e-11	-1.64132e-17	8.12874e-13	0.00229597	-7.59945e-10	
0.00021719	-7.55869e-05	-3.95938e-11	-4.14302e-17	2.05185e-12	0.00221199	-6.60713e-10	
