t	x	theta	dx	dtheta	ddx	ddtheta	
0	0	1.5708	-1.47073e-269	0	3.20259e-07	-1.96	
0	0	1.5708	-1.47073e-269	0	3.20259e-07	-1.96	
2.05052e-05	-3.01576e-274	1.5708	6.56697e-12	-4.01902e-05	3.21064e-07	-1.96	
3.07578e-05	1.51489e-16	1.5708	9.86903e-12	-6.02853e-05	3.22981e-07	-1.96	
8.20208e-05	1.08403e-15	1.5708	2.6952e-11	-0.000160761	3.39631e-07	-1.96	
9.11342e-05	1.32825e-15	1.5708	3.0393e-11	-0.000178623	3.44176e-07	-1.96	
0.000102526	1.68586e-15	1.5708	3.43146e-11	-0.000200951	3.50531e-07	-1.96	
0.000102526	1.70972e-15	1.5708	3.38692e-11	-0.000200951	3.50531e-07	-1.96	
0.000205052	5.1822e-15	1.5708	6.98078e-11	-0.000401902	4.31279e-07	-1.96	
0.000256315	1.10637e-14	1.5708	9.70907e-11	-0.000502377	5.09507e-07	-1.96	
0.00051263	6.20526e-14	1.5708	3.12849e-10	-0.00100475	1.07728e-06	-1.96	
0.000558197	8.02742e-14	1.5708	4.05783e-10	-0.00109407	1.21783e-06	-1.96	
0.000615156	9.71999e-14	1.5708	4.7621e-10	-0.00120571	1.41036e-06	-1.96	
0.000615156	9.49712e-14	1.5708	4.20538e-10	-0.00120571	1.41038e-06	-1.96	
0.00112779	3.10552e-13	1.5708	1.14354e-09	-0.00221046	3.73202e-06	-1.96	
0.0013841	8.35306e-13	1.57079	2.84395e-09	-0.00271284	5.83874e-06	-1.96	
0.00266568	1.61244e-11	1.57079	2.14541e-08	-0.00522472	2.0785e-05	-1.96	
0.00289351	2.49016e-11	1.57079	3.16843e-08	-0.00567128	2.44301e-05	-1.96	
0.00317831	2.96507e-11	1.57079	3.87997e-08	-0.00622947	2.94095e-05	-1.96	
0.00317831	2.61111e-11	1.57079	3.18421e-08	-0.00622948	2.94123e-05	-1.96	
0.00454265	6.95545e-11	1.57078	7.19704e-08	-0.00890358	5.7959e-05	-1.96	
0.00522481	1.52868e-10	1.57077	1.3585e-07	-0.0102406	7.89187e-05	-1.95999	
0.00863566	1.70062e-09	1.57072	6.6611e-07	-0.0169258	0.000214917	-1.95998	
0.00924203	2.75612e-09	1.57071	9.01417e-07	-0.0181143	0.000246055	-1.95998	
0.01	3.19977e-09	1.5707	1.09351e-06	-0.0195999	0.000288	-1.95998	
0.01	2.41506e-09	1.5707	9.62631e-07	-0.0195999	0.000288053	-1.95998	
0.012	4.34032e-09	1.57066	1.53874e-06	-0.0235199	0.000410751	-1.95997	
0.013	6.59919e-09	1.57063	2.10286e-06	-0.0254798	0.000486395	-1.95997	
0.018	2.91497e-08	1.57048	5.73848e-06	-0.0352796	0.000931506	-1.95994	
0.0188889	4.22827e-08	1.57045	6.90696e-06	-0.0370217	0.00102551	-1.95993	
0.02	4.86569e-08	1.5704	8.08324e-06	-0.0391994	0.00114952	-1.95992	
0.02	3.8418e-08	1.5704	7.67408e-06	-0.0391995	0.00114969	-1.95992	
0.022	5.37661e-08	1.57033	9.97346e-06	-0.0431193	0.00138693	-1.95991	
0.023	6.66138e-08	1.57028	1.16569e-05	-0.0450792	0.00151974	-1.9599	
0.028	1.5558e-07	1.57003	2.1172e-05	-0.0548785	0.00225056	-1.95985	
0.0288889	1.9198e-07	1.56998	2.35318e-05	-0.0566205	0.00239529	-1.95984	
0.03	2.16736e-07	1.56991	2.62657e-05	-0.0587981	0.00258269	-1.95982	
0.03	1.94153e-07	1.56991	2.58616e-05	-0.0587982	0.00258286	-1.95982	
0.032	2.45876e-07	1.5698	3.10273e-05	-0.0627179	0.00293416	-1.9598	
0.033	2.8336e-07	1.56973	3.44006e-05	-0.0646776	0.0031239	-1.95979	
0.038	5.11801e-07	1.56938	5.2646e-05	-0.0744763	0.0041392	-1.95972	
0.0388889	5.85914e-07	1.56931	5.67034e-05	-0.0762183	0.00433444	-1.9597	
0.04	6.47791e-07	1.56923	6.16273e-05	-0.0783957	0.00458496	-1.95968	
0.04	6.12916e-07	1.56923	6.12282e-05	-0.0783958	0.00458512	-1.95968	
0.042	7.35372e-07	1.56907	7.03985e-05	-0.0823151	0.00505	-1.95965	
0.043	8.17234e-07	1.56898	7.60296e-05	-0.0842748	0.00529641	-1.95964	
0.048	1.28666e-06	1.56854	0.000105844	-0.0940727	0.00659497	-1.95955	
0.0488889	1.41798e-06	1.56845	0.000112103	-0.0958144	0.00684049	-1.95953	
0.05	1.54203e-06	1.56835	0.000119847	-0.0979917	0.00715384	-1.95951	
0.05	1.49491e-06	1.56835	0.000119453	-0.0979918	0.00715401	-1.95951	
0.052	1.73382e-06	1.56815	0.000133761	-0.101911	0.00773196	-1.95947	
0.053	1.88546e-06	1.56804	0.000142215	-0.10387	0.00803479	-1.95945	
0.058	2.7257e-06	1.5675	0.000186425	-0.113667	0.00961532	-1.95934	
0.0588889	2.93875e-06	1.5674	0.000195387	-0.115409	0.00991091	-1.95931	
0.06	3.15631e-06	1.56727	0.000206578	-0.117586	0.0102868	-1.95929	
0.06	3.09701e-06	1.56727	0.000206189	-0.117586	0.010287	-1.95929	
0.062	3.50939e-06	1.56703	0.000226763	-0.121504	0.0109775	-1.95924	
0.063	3.76187e-06	1.56691	0.000238603	-0.123464	0.0113365	-1.95922	
0.068	5.13095e-06	1.56626	0.000300022	-0.133259	0.0131977	-1.95908	
0.0688889	5.45526e-06	1.56615	0.000312186	-0.135001	0.0135431	-1.95906	
0.07	5.80392e-06	1.56599	0.000327448	-0.137177	0.0139813	-1.95903	
0.07	5.73249e-06	1.56599	0.000327064	-0.137177	0.0139814	-1.95903	
0.072	6.38662e-06	1.56572	0.000355027	-0.141095	0.014784	-1.95897	
0.073	6.7766e-06	1.56557	0.000370814	-0.143054	0.0151989	-1.95894	
0.078	8.86061e-06	1.56483	0.000452241	-0.152849	0.0173394	-1.95879	
0.0788889	9.3307e-06	1.5647	0.000468106	-0.15459	0.0177344	-1.95876	
0.08	9.85427e-06	1.56452	0.000488059	-0.156766	0.0182345	-1.95873	
0.08	9.77076e-06	1.56452	0.00048768	-0.156766	0.0182347	-1.95873	
