t	X	z11	Z	dz11	dZ	
0	2.54587e-18	3.62165e-34	-2.55146e-16	0	0	
0	-1.34137e-18	-3.09352e-06	-3.09352e-06	-0.00618704	-0.00618704	
0.01	1.53498e-18	-1.20897e-05	-1.20897e-05	-0.0118053	-0.0118053	
0.02	5.70889e-18	-2.64448e-05	-2.64448e-05	-0.0169049	-0.0169049	
0.03	1.17352e-17	-4.5663e-05	-4.5663e-05	-0.0215315	-0.0215315	
0.04	1.40447e-17	-6.92919e-05	-6.92919e-05	-0.0257263	-0.0257263	
0.05	1.25643e-17	-9.69186e-05	-9.69186e-05	-0.0295271	-0.0295271	
0.06	1.67106e-17	-0.000128166	-0.000128166	-0.0329679	-0.0329679	
0.07	2.46925e-17	-0.00016269	-0.00016269	-0.0360797	-0.0360797	
0.08	1.24878e-17	-0.000200175	-0.000200175	-0.0388908	-0.0388908	
0.09	2.68369e-17	-0.000240334	-0.000240334	-0.0414267	-0.0414267	
0.1	1.8546e-17	-0.000282903	-0.000282903	-0.0437106	-0.0437106	
0.11	2.83481e-17	-0.00032764	-0.00032764	-0.0457638	-0.0457638	
0.12	1.89743e-17	-0.000374324	-0.000374324	-0.0476053	-0.0476053	
0.13	3.10733e-17	-0.000422753	-0.000422753	-0.0492527	-0.0492527	
0.14	2.05586e-17	-0.00047274	-0.00047274	-0.0507217	-0.0507217	
0.15	2.80868e-17	-0.000524115	-0.000524115	-0.0520268	-0.0520268	
0.16	1.97432e-17	-0.000576719	-0.000576719	-0.0531811	-0.0531811	
0.17	2.9588e-17	-0.000630407	-0.000630407	-0.0541965	-0.0541965	
0.18	1.44813e-17	-0.000685048	-0.000685048	-0.0550838	-0.0550838	
0.19	3.42081e-17	-0.000740516	-0.000740516	-0.0558529	-0.0558529	
0.2	2.1657e-17	-0.000796699	-0.000796699	-0.0565128	-0.0565128	
0.21	2.87661e-17	-0.000853491	-0.000853491	-0.0570715	-0.0570715	
0.22	1.63426e-17	-0.000910795	-0.000910795	-0.0575365	-0.0575365	
0.23	3.05939e-17	-0.00096852	-0.00096852	-0.0579145	-0.0579145	
0.24	1.75059e-17	-0.00102658	-0.00102658	-0.0582118	-0.0582118	
0.25	2.8916e-17	-0.00108491	-0.00108491	-0.0584339	-0.0584339	
0.26	1.87218e-17	-0.00114342	-0.00114342	-0.058586	-0.058586	
0.27	3.58062e-17	-0.00120205	-0.00120205	-0.0586726	-0.0586726	
0.28	1.9753e-17	-0.00126073	-0.00126073	-0.0586981	-0.0586981	
0.29	3.15423e-17	-0.00131941	-0.00131941	-0.0586663	-0.0586663	
0.3	1.83856e-17	-0.00137804	-0.00137804	-0.0585809	-0.0585809	
0.31	2.87805e-17	-0.00143655	-0.00143655	-0.058445	-0.058445	
0.32	2.55439e-17	-0.0014949	-0.0014949	-0.0582615	-0.0582615	
0.33	3.10371e-17	-0.00155305	-0.00155305	-0.0580334	-0.0580334	
0.34	1.89796e-17	-0.00161095	-0.00161095	-0.057763	-0.057763	
0.35	3.41861e-17	-0.00166856	-0.00166856	-0.0574526	-0.0574526	
0.36	1.70394e-17	-0.00172583	-0.00172583	-0.0571043	-0.0571043	
0.37	2.9125e-17	-0.00178275	-0.00178275	-0.0567202	-0.0567202	
0.38	1.81101e-17	-0.00183926	-0.00183926	-0.0563019	-0.0563019	
0.39	2.94599e-17	-0.00189533	-0.00189533	-0.0558512	-0.0558512	
0.4	2.54194e-17	-0.00195095	-0.00195095	-0.0553695	-0.0553695	
0.41	2.7863e-17	-0.00200606	-0.00200606	-0.0548583	-0.0548583	
0.42	2.08786e-17	-0.00206065	-0.00206065	-0.054319	-0.054319	
