t	X	z11	Z	dz11	dZ	
0	-1.38485e-17	0	-2.03665e-16	0	0	
0	-1.38485e-17	0	-2.03665e-16	0	0	
7.24361e-07	-1.38485e-17	0	-2.03665e-16	4.0246e-07	-8.33944e-07	
1.08654e-06	-1.38485e-17	3.27967e-13	-6.7979e-13	6.03678e-07	-1.25085e-06	
2.89744e-06	-1.38485e-17	2.33205e-12	-4.83197e-12	1.60975e-06	-3.33531e-06	
3.21938e-06	-1.38485e-17	2.87893e-12	-5.96456e-12	1.78861e-06	-3.70585e-06	
3.6218e-06	-1.38485e-17	3.64371e-12	-7.54915e-12	2.01217e-06	-4.169e-06	
3.6218e-06	-1.38485e-17	3.64392e-12	-7.55028e-12	2.01217e-06	-4.169e-06	
7.24361e-06	-8.33971e-17	1.09316e-11	-2.26495e-11	4.0242e-06	-8.33727e-06	
9.05451e-06	-8.3398e-17	2.27735e-11	-4.71829e-11	5.02991e-06	-1.04198e-05	
1.8109e-05	-8.34074e-17	9.10724e-11	-1.88615e-10	1.00581e-05	-2.08305e-05	
1.97187e-05	-8.34195e-17	1.07963e-10	-2.23531e-10	1.09519e-05	-2.26803e-05	
2.17308e-05	-8.3424e-17	1.31125e-10	-2.71504e-10	1.20689e-05	-2.49922e-05	
2.17308e-05	-8.34066e-17	1.31152e-10	-2.71645e-10	1.20689e-05	-2.49922e-05	
3.98398e-05	-3.64351e-17	3.49708e-10	-7.24229e-10	2.21223e-05	-4.57973e-05	
4.88943e-05	-3.74752e-17	6.63801e-10	-1.37438e-09	2.71414e-05	-5.61591e-05	
9.41669e-05	-4.54663e-17	2.45938e-09	-5.08293e-09	5.22283e-05	-0.000107924	
0.000102215	-5.4657e-17	2.89526e-09	-5.97555e-09	5.66837e-05	-0.000117104	
0.000112276	-5.87887e-17	3.4938e-09	-7.2127e-09	6.22511e-05	-0.000128568	
0.000112276	-4.57216e-17	3.49709e-09	-7.23042e-09	6.22512e-05	-0.000128566	
0.000202821	5.14966e-17	9.13363e-09	-1.88714e-08	0.000112349	-0.000231689	
0.000248093	-6.60831e-16	1.7055e-08	-3.51964e-08	0.000137207	-0.00028224	
0.000474456	-5.85638e-15	6.20248e-08	-1.26866e-07	0.000261277	-0.000534027	
0.000514698	-1.16219e-14	7.26804e-08	-1.47619e-07	0.000283215	-0.00057836	
0.000565001	-1.43428e-14	8.76491e-08	-1.78246e-07	0.0003106	-0.000633325	
0.000565001	-6.17239e-15	8.80601e-08	-1.80475e-07	0.000310611	-0.00063311	
0.00101773	-8.63215e-15	2.28682e-07	-4.67099e-07	0.000556837	-0.00112674	
0.00124409	-4.43801e-13	4.24399e-07	-8.61824e-07	0.000675128	-0.00134932	
0.0023759	-4.14019e-12	1.50352e-06	-2.91974e-06	0.00126047	-0.00245396	
0.00257711	-8.6449e-12	1.72986e-06	-3.22384e-06	0.00136071	-0.00265627	
0.00282863	-1.04588e-11	2.09267e-06	-3.92736e-06	0.00148604	-0.00287794	
0.00282863	-4.04251e-12	2.1438e-06	-4.21438e-06	0.0014876	-0.00285026	
0.0041216	-3.21917e-12	4.06722e-06	-7.8994e-06	0.00212876	-0.00398275	
0.00476808	-1.68531e-12	5.96155e-06	-1.13894e-05	0.00240906	-0.00438881	
0.0080005	-1.04721e-12	1.55436e-05	-2.69873e-05	0.00376792	-0.00659621	
0.00857516	6.0716e-12	1.68566e-05	-2.63565e-05	0.003976	-0.00731709	
0.00929347	1.40116e-11	1.99312e-05	-3.1311e-05	0.00423365	-0.00766148	
0.00929347	-1.80592e-12	2.11733e-05	-3.76389e-05	0.0042568	-0.00704932	
0.00943478	5.48215e-12	2.17748e-05	-3.86188e-05	0.00430816	-0.007108	
0.00950543	5.18769e-12	2.20837e-05	-3.91262e-05	0.00433328	-0.00713949	
0.00985869	5.56472e-12	2.3636e-05	-4.16789e-05	0.00445936	-0.0072982	
0.0099215	7.80438e-12	2.39151e-05	-4.21438e-05	0.00448262	-0.00732863	
0.01	7.50014e-12	2.4268e-05	-4.27196e-05	0.00451005	-0.00736245	
0.01	4.20704e-12	2.42703e-05	-4.27117e-05	0.00450839	-0.00735822	
0.0106	4.72191e-12	2.69751e-05	-4.71257e-05	0.00471803	-0.00761679	
0.0108999	5.86348e-12	2.8469e-05	-4.95075e-05	0.00481528	-0.00772857	
0.0123998	-1.81772e-14	3.6015e-05	-6.14238e-05	0.00529645	-0.00828719	
0.0126665	-1.4389e-11	3.73548e-05	-6.34398e-05	0.00538097	-0.0083973	
0.0129998	-1.32021e-11	3.91706e-05	-6.6258e-05	0.0054804	-0.00850412	
0.0129998	6.87435e-12	3.92851e-05	-6.65427e-05	0.00547587	-0.00847475	
0.0143998	8.49152e-12	4.69515e-05	-7.84056e-05	0.00589123	-0.00891907	
0.0150998	8.86951e-12	5.1439e-05	-8.50379e-05	0.00606144	-0.00906914	
0.0186	9.84462e-12	7.36706e-05	-0.000117183	0.0069165	-0.00992147	
0.0192222	8.93701e-12	7.69749e-05	-0.000121133	0.00709385	-0.0102489	
0.02	9.22402e-12	8.25569e-05	-0.000128886	0.0072454	-0.0103726	
0.02	1.081e-11	8.39953e-05	-0.000132064	0.00718175	-0.0100545	
0.022	1.18227e-11	9.83588e-05	-0.000152147	0.00757478	-0.0103505	
0.023	1.22147e-11	0.000106425	-0.000162868	0.0077137	-0.0104243	
0.028	1.37887e-11	0.00014569	-0.000214573	0.00848147	-0.0109911	
0.0288889	1.41184e-11	0.000150732	-0.000220692	0.00874171	-0.0114053	
0.03	1.46253e-11	0.000160262	-0.000232591	0.00885503	-0.0114739	
0.03	1.43998e-11	0.000163827	-0.000237846	0.00863117	-0.0109355	
0.032	1.48082e-11	0.000181089	-0.000259656	0.00883752	-0.011012	
0.033	1.48946e-11	0.000190184	-0.000270763	0.0089039	-0.0110246	
0.038	1.60275e-11	0.000234869	-0.000325579	0.00932542	-0.0111733	
0.0388889	1.68942e-11	0.000241392	-0.000334176	0.00953834	-0.0113315	
0.04	1.69047e-11	0.000251682	-0.000346422	0.00959921	-0.0113406	
0.04	1.58986e-11	0.000254226	-0.000348341	0.00936425	-0.0111168	
0.042	1.60107e-11	0.000272955	-0.000370533	0.00946606	-0.0111149	
0.043	1.60972e-11	0.000282548	-0.000381645	0.00949424	-0.011105	
0.048	1.63059e-11	0.000329962	-0.000436886	0.00971772	-0.0110896	
0.0488889	1.60409e-11	0.0003374	-0.000446257	0.00987937	-0.0111384	
0.05	1.60672e-11	0.00034807	-0.000458487	0.00991055	-0.0111257	
0.05	1.65058e-11	0.000349809	-0.000459179	0.00970861	-0.0110385	
0.052	1.6809e-11	0.000369226	-0.000481235	0.00975511	-0.0110084	
0.053	1.69201e-11	0.000379039	-0.000492206	0.0097636	-0.0109903	
0.058	1.62591e-11	0.000427697	-0.000546878	0.00988192	-0.0109122	
0.0588889	1.45912e-11	0.000435613	-0.000556408	0.0100118	-0.0109168	
0.06	1.45728e-11	0.000446443	-0.000568476	0.0100273	-0.0108961	
0.06	1.69096e-11	0.00044771	-0.00056871	0.00985034	-0.0108648	
0.062	1.75022e-11	0.000467411	-0.000590431	0.00986842	-0.0108246	
0.063	1.7699e-11	0.000477302	-0.000601205	0.00986695	-0.0108038	
0.068	1.5865e-11	0.000526428	-0.000654949	0.00993097	-0.0107023	
0.0688889	1.20049e-11	0.000534569	-0.000664412	0.010043	-0.0106888	
0.07	1.19555e-11	0.000545445	-0.000676262	0.0100503	-0.0106652	
0.07	1.72905e-11	0.000546454	-0.000676323	0.00988878	-0.0106571	
0.072	1.84678e-11	0.000566231	-0.000697634	0.00989246	-0.0106137	
