t	xWAG	bWAG	
0	0.00259009	-0.00209275	
0	0.00259009	-0.00209275	
0.002	0.00259009	-0.00209275	
0.003	0.00259009	-0.00209275	
0.008	0.00259009	-0.00209275	
0.00888889	0.00259009	-0.00209275	
0.01	0.00259009	-0.00209275	
0.01	0.00259009	-0.00209275	
0.01	0.00259009	-0.00209275	
0.012	0.00259009	-0.00209275	
0.013	0.00259009	-0.00209275	
0.018	0.00259009	-0.00209275	
0.0188889	0.00259009	-0.00209275	
0.02	0.00259009	-0.00209275	
0.02	0.00259009	-0.00209275	
0.02	0.00259009	-0.00209275	
0.022	0.00259009	-0.00209275	
0.023	0.00259009	-0.00209275	
0.028	0.00259009	-0.00209275	
0.0288889	0.00259009	-0.00209275	
0.03	0.00259009	-0.00209275	
0.03	0.00259009	-0.00209275	
0.0213915	0.00259009	-0.00209275	
0.0220872	0.00259009	-0.00209275	
0.0255658	0.00259009	-0.00209275	
0.0261842	0.00259009	-0.00209275	
0.0269573	0.00259009	-0.00209275	
0.0269573	0.00259009	-0.00209275	
0.0269573	0.00259009	-0.00209275	
0.0275658	0.00259009	-0.00209275	
0.0278701	0.00259009	-0.00209275	
0.0293915	0.00259009	-0.00209275	
0.0296619	0.00259009	-0.00209275	
0.03	0.00259009	-0.00209275	
0.03	0.00259009	-0.00209275	
0.03	0.00259009	-0.00209275	
0.032	0.00259009	-0.00209275	
0.033	0.00259009	-0.00209275	
0.038	0.00259009	-0.00209275	
0.0388889	0.00259009	-0.00209275	
0.04	0.00259009	-0.00209275	
0.04	0.00259009	-0.00209275	
0.04	0.00259009	-0.00209275	
0.042	0.00259009	-0.00209275	
0.043	0.00259009	-0.00209275	
0.048	0.00259009	-0.00209275	
0.0488889	0.00259009	-0.00209275	
0.05	0.00259009	-0.00209275	
0.05	0.00259009	-0.00209275	
0.0414851	0.00259009	-0.00209275	
0.0422276	0.00259009	-0.00209275	
0.0459403	0.00259009	-0.00209275	
0.0466003	0.00259009	-0.00209275	
0.0474254	0.00259009	-0.00209275	
0.0474254	0.00259009	-0.00209275	
0.0474254	0.00259009	-0.00209275	
0.0479403	0.00259009	-0.00209275	
0.0481978	0.00259009	-0.00209275	
0.0494851	0.00259009	-0.00209275	
0.0497139	0.00259009	-0.00209275	
0.05	0.00259009	-0.00209275	
0.05	0.00259009	-0.00209275	
0.05	0.00259009	-0.00209275	
0.052	0.00259009	-0.00209275	
0.053	0.00259009	-0.00209275	
0.058	0.00259009	-0.00209275	
0.0588889	0.00259009	-0.00209275	
0.06	0.00259009	-0.00209275	
0.06	0.00259009	-0.00209275	
0.06	0.00259009	-0.00209275	
0.062	0.00259009	-0.00209275	
0.063	0.00259008	-0.00209275	
0.068	0.00259008	-0.00209275	
0.0688889	0.00259008	-0.00209275	
0.07	0.00259008	-0.00209275	
0.07	0.00259008	-0.00209275	
0.0614149	0.00259009	-0.00209275	
0.0621223	0.00259009	-0.00209275	
0.0656595	0.00259008	-0.00209275	
0.0662884	0.00259008	-0.00209275	
0.0670744	0.00259008	-0.00209275	
0.0670744	0.00259008	-0.00209275	
0.0670744	0.00259008	-0.00209275	
0.0676595	0.00259008	-0.00209275	
0.0679521	0.00259008	-0.00209275	
0.0694149	0.00259008	-0.00209275	
0.0696749	0.00259008	-0.00209275	
0.07	0.00259008	-0.00209275	
0.07	0.00259008	-0.00209275	
0.07	0.00259008	-0.00209275	
0.072	0.00259008	-0.00209275	
0.073	0.00259008	-0.00209275	
0.078	0.00259008	-0.00209275	
0.0788889	0.00259008	-0.00209275	
0.08	0.00259008	-0.00209275	
0.08	0.00259008	-0.00209275	
0.08	0.00259008	-0.00209275	
0.082	0.00259008	-0.00209275	
0.083	0.00259008	-0.00209275	
0.088	0.00259008	-0.00209275	
0.0888889	0.00259008	-0.00209275	
0.09	0.00259007	-0.00209275	
0.09	0.00259008	-0.00209275	
0.0814678	0.00259008	-0.00209275	
0.0822017	0.00259008	-0.00209275	
0.0858711	0.00259008	-0.00209275	
0.0865234	0.00259008	-0.00209275	
0.0873388	0.00259008	-0.00209275	
0.0873388	0.00259008	-0.00209275	
0.0873388	0.00259008	-0.00209275	
0.0878711	0.00259008	-0.00209275	
0.0881372	0.00259008	-0.00209275	
0.0894678	0.00259008	-0.00209275	
0.0897043	0.00259008	-0.00209275	
0.09	0.00259008	-0.00209275	
0.09	0.00259008	-0.00209275	
0.09	0.00259008	-0.00209275	
0.092	0.00259008	-0.00209275	
0.093	0.00259008	-0.00209275	
0.098	0.00259007	-0.00209275	
0.0988889	0.00259007	-0.00209275	
0.1	0.00259007	-0.00209275	
0.1	0.00259007	-0.00209275	
0.1	0.00259007	-0.00209275	
0.102	0.00259007	-0.00209275	
0.103	0.00259007	-0.00209275	
0.108	0.00259007	-0.00209274	
0.108889	0.00259007	-0.00209274	
0.11	0.00259007	-0.00209274	
0.11	0.00259007	-0.00209274	
0.101428	0.00259007	-0.00209275	
0.102142	0.00259007	-0.00209275	
0.105713	0.00259007	-0.00209274	
0.106347	0.00259007	-0.00209274	
0.107141	0.00259007	-0.00209274	
0.107141	0.00259007	-0.00209274	
0.107141	0.00259007	-0.00209274	
0.107713	0.00259007	-0.00209274	
0.107998	0.00259007	-0.00209274	
0.109428	0.00259007	-0.00209274	
0.109682	0.00259007	-0.00209274	
0.11	0.00259007	-0.00209274	
0.11	0.00259007	-0.00209274	
0.11	0.00259007	-0.00209274	
0.112	0.00259007	-0.00209274	
0.113	0.00259007	-0.00209274	
0.118	0.00259007	-0.00209274	
0.118889	0.00259007	-0.00209274	
0.12	0.00259007	-0.00209274	
0.12	0.00259007	-0.00209274	
0.12	0.00259007	-0.00209274	
0.122	0.00259007	-0.00209274	
0.123	0.00259007	-0.00209274	
0.128	0.00259007	-0.00209274	
0.128889	0.00259006	-0.00209274	
0.13	0.00259006	-0.00209274	
0.13	0.00259007	-0.00209274	
0.121458	0.00259007	-0.00209274	
0.122187	0.00259007	-0.00209274	
0.125832	0.00259007	-0.00209274	
0.12648	0.00259007	-0.00209274	
0.12729	0.00259007	-0.00209274	
0.12729	0.00259007	-0.00209274	
0.12729	0.00259007	-0.00209274	
0.127832	0.00259007	-0.00209274	
0.128103	0.00259007	-0.00209274	
0.129458	0.00259007	-0.00209274	
0.129699	0.00259007	-0.00209274	
0.13	0.00259007	-0.00209274	
0.13	0.00259007	-0.00209274	
0.13	0.00259007	-0.00209274	
0.132	0.00259006	-0.00209274	
0.133	0.00259006	-0.00209274	
0.138	0.00259006	-0.00209274	
0.138889	0.00259006	-0.00209274	
0.14	0.00259006	-0.00209274	
0.14	0.00259006	-0.00209274	
0.14	0.00259006	-0.00209274	
0.142	0.00259006	-0.00209274	
0.143	0.00259006	-0.00209274	
0.148	0.00259006	-0.00209274	
0.148889	0.00259006	-0.00209274	
