t	a1	a2	da1	da2	
0	0	0	0	0	
0.001	1.41348e-07	-1.44786e-07	0.000282695	-0.000289573	
0.002	5.65304e-07	-5.79138e-07	0.000565218	-0.000579131	
0.003	1.27162e-06	-1.30304e-06	0.000847422	-0.000868669	
0.004	2.25992e-06	-2.31646e-06	0.00112917	-0.00115818	
0.005	3.52969e-06	-3.61938e-06	0.00141035	-0.00144766	
0.006	5.08029e-06	-5.21177e-06	0.00169085	-0.0017371	
0.007	6.91101e-06	-7.09357e-06	0.00197059	-0.0020265	
0.008	9.02105e-06	-9.26475e-06	0.0022495	-0.00231586	
0.009	1.14096e-05	-1.17253e-05	0.00252754	-0.00260516	
0.01	1.40757e-05	-1.4475e-05	0.0028047	-0.0028944	
0.011	1.70185e-05	-1.7514e-05	0.00308099	-0.00318358	
0.012	2.02372e-05	-2.08422e-05	0.00335645	-0.0034727	
0.013	2.3731e-05	-2.44594e-05	0.00363113	-0.00376175	
0.014	2.74992e-05	-2.83656e-05	0.00390511	-0.00405072	
0.015	3.1541e-05	-3.25608e-05	0.0041785	-0.00433961	
0.016	3.58559e-05	-3.70448e-05	0.0044514	-0.00462842	
0.017	4.04436e-05	-4.18176e-05	0.00472395	-0.00491715	
0.018	4.53037e-05	-4.68791e-05	0.00499629	-0.00520578	
0.019	5.04361e-05	-5.22291e-05	0.00526854	-0.00549433	
0.02	5.58408e-05	-5.78677e-05	0.00554086	-0.00578277	
0.021	6.15179e-05	-6.37946e-05	0.00581337	-0.00607112	
0.022	6.74677e-05	-7.00098e-05	0.00608621	-0.00635936	
0.023	7.36906e-05	-7.65133e-05	0.00635948	-0.00664749	
0.024	8.0187e-05	-8.33048e-05	0.0066333	-0.00693551	
0.025	8.69575e-05	-9.03842e-05	0.00690773	-0.00722342	
0.026	9.40028e-05	-9.77515e-05	0.00718284	-0.00751121	
0.027	0.000101324	-0.000105407	0.00745866	-0.00779887	
0.028	0.00010892	-0.000113349	0.0077352	-0.0080864	
0.029	0.000116794	-0.000121579	0.00801246	-0.0083738	
0.03	0.000124946	-0.000130097	0.00829039	-0.00866107	
0.031	0.000133375	-0.000138901	0.00856893	-0.00894819	
0.032	0.000142084	-0.000147993	0.00884801	-0.00923516	
0.033	0.000151072	-0.000157372	0.00912752	-0.00952198	
0.034	0.000160339	-0.000167037	0.00940734	-0.00980864	
0.035	0.000169886	-0.000176989	0.00968735	-0.0100951	
0.036	0.000179714	-0.000187227	0.00996741	-0.0103815	
0.037	0.000189821	-0.000197752	0.0102474	-0.0106676	
0.038	0.000200208	-0.000208562	0.0105271	-0.0109536	
0.039	0.000210875	-0.000219659	0.0108065	-0.0112394	
0.04	0.000221821	-0.000231041	0.0110853	-0.011525	
0.041	0.000233045	-0.000242709	0.0113635	-0.0118104	
0.042	0.000244548	-0.000254661	0.011641	-0.0120955	
0.043	0.000256327	-0.000266899	0.0119176	-0.0123805	
0.044	0.000268383	-0.000279422	0.0121934	-0.0126653	
0.045	0.000280713	-0.00029223	0.0124682	-0.0129499	
0.046	0.000293319	-0.000305322	0.0127421	-0.0132342	
0.047	0.000306197	-0.000318698	0.013015	-0.0135183	
0.048	0.000319348	-0.000332359	0.013287	-0.0138022	
0.049	0.000332771	-0.000346303	0.0135581	-0.0140858	
